"","team","Goals","Assists","Shots","Shots on Goal","Saves","Penalties Scored","Penalty Kicks","Crosses","Corner Kicks","Passes","Offside","Fouls Committed","Cautions/Yellow Cards","Red Cards","Ball Possession","date","Opponent","GameID","home_away"
"X1","ARS","4","4","27","10","0","0","0","25","9","554","5","9","0","0","65%","20170811","LEI","ARSvLEI20170811","home"
"X3","LEI","3","3","6","3","6","0","0","26","4","173","3","12","1","0","35%","20170811","ARS","ARSvLEI20170811","away"
"X11","BHA","0","0","6","2","3","0","0","8","3","130","6","6","0","0","28%","20170812","MCI","BHAvMCI20170812","home"
"X31","MCI","2","1","14","4","2","0","0","31","10","701","1","9","2","0","72%","20170812","BHA","BHAvMCI20170812","away"
"X12","CRY","0","0","14","4","4","0","0","31","12","331","0","7","1","0","55%","20170812","HUD","CRYvHUD20170812","home"
"X32","HUD","3","2","8","6","4","0","0","20","9","217","2","19","3","0","45%","20170812","CRY","CRYvHUD20170812","away"
"X13","EVE","1","1","9","4","1","0","0","22","6","416","2","13","1","0","58%","20170812","STK","EVEvSTK20170812","home"
"X33","STK","0","0","9","1","3","0","0","30","7","226","6","10","1","0","42%","20170812","EVE","EVEvSTK20170812","away"
"X14","SOU","0","0","29","2","0","0","0","37","13","457","0","10","2","0","57%","20170812","SWA","SOUvSWA20170812","home"
"X34","SWA","0","0","4","0","2","0","0","11","0","284","1","13","1","0","43%","20170812","SOU","SOUvSWA20170812","away"
"X15","WAT","3","1","9","4","2","0","0","22","3","292","3","14","0","0","48%","20170812","LIV","WATvLIV20170812","home"
"X35","LIV","3","2","14","5","1","1","1","16","3","370","1","8","3","0","52%","20170812","WAT","WATvLIV20170812","away"
"X16","WBA","1","1","16","6","2","0","0","24","8","171","2","15","3","0","37%","20170812","BOU","WBAvBOU20170812","home"
"X36","BOU","0","0","9","2","5","0","0","30","2","562","0","3","1","0","63%","20170812","WBA","WBAvBOU20170812","away"
"X17","MUN","4","4","22","6","1","0","0","22","11","419","1","19","2","0","55%","20170813","WHU","MUNvWHU20170813","home"
"X37","WHU","0","0","9","1","2","0","0","16","1","318","4","7","2","0","45%","20170813","MUN","MUNvWHU20170813","away"
"X18","NEW","0","0","6","3","4","0","0","19","5","190","2","6","1","1","32%","20170813","TOT","NEWvTOT20170813","home"
"X38","TOT","2","2","18","6","3","0","0","23","7","668","1","10","2","0","68%","20170813","NEW","NEWvTOT20170813","away"
"X19","BOU","0","0","6","2","5","0","0","27","8","371","1","6","1","0","54%","20170819","WAT","BOUvWAT20170819","home"
"X39","WAT","2","0","19","7","2","0","0","33","5","291","7","14","3","0","46%","20170819","BOU","BOUvWAT20170819","away"
"X110","BUR","0","0","20","0","0","0","0","33","5","410","1","11","1","0","64%","20170819","WBA","BURvWBA20170819","home"
"X310","WBA","1","1","8","1","0","0","0","15","5","128","3","11","0","1","36%","20170819","BUR","BURvWBA20170819","away"
"X111","LEI","2","1","14","4","2","0","0","22","6","354","1","8","1","0","48%","20170819","BHA","LEIvBHA20170819","home"
"X311","BHA","0","0","5","2","2","0","0","19","2","452","2","10","0","0","52%","20170819","LEI","LEIvBHA20170819","away"
"X112","LIV","1","0","23","13","1","0","0","30","4","623","2","12","1","0","64%","20170819","CRY","LIVvCRY20170819","home"
"X312","CRY","0","0","4","1","12","0","0","13","2","184","4","13","3","0","36%","20170819","LIV","LIVvCRY20170819","away"
"X113","STK","1","1","11","4","6","0","0","13","2","134","4","6","0","0","33%","20170819","ARS","STKvARS20170819","home"
"X313","ARS","0","0","18","6","3","0","0","31","9","650","3","11","0","0","67%","20170819","STK","STKvARS20170819","away"
"X114","SWA","0","0","6","1","4","0","0","25","3","343","1","12","1","0","42%","20170819","MUN","SWAvMUN20170819","home"
"X314","MUN","4","3","17","8","1","0","0","22","5","523","0","11","1","0","58%","20170819","SWA","SWAvMUN20170819","away"
"X115","HUD","1","1","7","3","5","0","0","21","7","372","4","13","3","0","55%","20170820","NEW","HUDvNEW20170820","home"
