"","team","Goals","Assists","Shots","Shots on Goal","Saves","Penalties Scored","Penalty Kicks","Crosses","Corner Kicks","Passes","Offside","Fouls Committed","Cautions/Yellow Cards","Red Cards","Ball Possession","date","Opponent","GoalsAllowed","GameID","home_away","win_flag","points_earned","goal_conversion_total_shots","goal_conversion_shots_on_goal","unassisted_goals","passes_per_goal","fouls_per_yellow_card","fouls_per_red_card"
"X1","ARS",4,4,27,10,0,0,0,25,9,554,5,9,0,0,0.65,"20170811","LEI",3,"ARSvLEI20170811","home",1,3,0.148148148148148,0.4,0,138.5,Inf,Inf
"X3","LEI",3,3,6,3,6,0,0,26,4,173,3,12,1,0,0.35,"20170811","ARS",4,"ARSvLEI20170811","away",0,0,0.5,1,0,57.6666666666667,12,Inf
"X11","BHA",0,0,6,2,3,0,0,8,3,130,6,6,0,0,0.28,"20170812","MCI",2,"BHAvMCI20170812","home",0,0,0,0,0,Inf,Inf,Inf
"X31","MCI",2,1,14,4,2,0,0,31,10,701,1,9,2,0,0.72,"20170812","BHA",0,"BHAvMCI20170812","away",1,3,0.142857142857143,0.5,1,350.5,4.5,Inf
"X12","CRY",0,0,14,4,4,0,0,31,12,331,0,7,1,0,0.55,"20170812","HUD",3,"CRYvHUD20170812","home",0,0,0,0,0,Inf,7,Inf
"X32","HUD",3,2,8,6,4,0,0,20,9,217,2,19,3,0,0.45,"20170812","CRY",0,"CRYvHUD20170812","away",1,3,0.375,0.5,1,72.3333333333333,6.33333333333333,Inf
"X13","EVE",1,1,9,4,1,0,0,22,6,416,2,13,1,0,0.58,"20170812","STK",0,"EVEvSTK20170812","home",1,3,0.111111111111111,0.25,0,416,13,Inf
"X33","STK",0,0,9,1,3,0,0,30,7,226,6,10,1,0,0.42,"20170812","EVE",1,"EVEvSTK20170812","away",0,0,0,0,0,Inf,10,Inf
"X14","SOU",0,0,29,2,0,0,0,37,13,457,0,10,2,0,0.57,"20170812","SWA",0,"SOUvSWA20170812","home",0,1,0,0,0,Inf,5,Inf
"X34","SWA",0,0,4,0,2,0,0,11,0,284,1,13,1,0,0.43,"20170812","SOU",0,"SOUvSWA20170812","away",0,1,0,NA,0,Inf,13,Inf
"X15","WAT",3,1,9,4,2,0,0,22,3,292,3,14,0,0,0.48,"20170812","LIV",3,"WATvLIV20170812","home",0,1,0.333333333333333,0.75,2,97.3333333333333,Inf,Inf
"X35","LIV",3,2,14,5,1,1,1,16,3,370,1,8,3,0,0.52,"20170812","WAT",3,"WATvLIV20170812","away",0,1,0.214285714285714,0.6,1,123.333333333333,2.66666666666667,Inf
"X16","WBA",1,1,16,6,2,0,0,24,8,171,2,15,3,0,0.37,"20170812","BOU",0,"WBAvBOU20170812","home",1,3,0.0625,0.166666666666667,0,171,5,Inf
