"","team","Goals","Assists","Shots","Shots on Goal","Saves","Penalties Scored","Penalty Kicks","Crosses","Corner Kicks","Passes","Offside","Fouls Committed","Cautions/Yellow Cards","Red Cards","Ball Possession","date","Opponent","GoalsAllowed","GameID","home_away","win_flag","gameweek_points","goal_conversion_total_shots","goal_conversion_shots_on_goal","unassisted_goals","passes_per_goal","fouls_per_yellow_card","fouls_per_red_card","goal_difference","game_week","team_gameweek_id","opp_team_gameweek_id","cumu_points","cumu_goal_difference","cumu_goals","team_standing_rank","opp_standing_rank","standing_difference","close_standing_flag","against_top_6_flag","value_point","points_lag1","points_lag2","points_lag3","opponent_standing_lag1","opponent_standing_lag2","opponent_standing_lag3"
"1","MCI",5,5,13,10,3,0,0,28,8,685,5,10,2,0,0.62,"20170909","LIV",0,"MCIvLIV20170909","home",1,3,0.384615384615385,0.5,0,137,5,Inf,5,1,"MCI-1","LIV-1",3,5,5,1,20,19,0,0,6.33333333333333,NA,NA,NA,NA,NA,NA
"2","LIV",0,0,7,3,5,0,0,11,3,317,2,9,2,1,0.38,"20170909","MCI",5,"MCIvLIV20170909","away",0,0,0,0,0,Inf,4.5,9,-5,1,"LIV-1","MCI-1",0,-5,0,20,1,-19,0,1,-Inf,NA,NA,NA,NA,NA,NA
"3","ARS",3,3,17,9,2,0,0,21,10,492,4,14,0,0,0.52,"20170909","BOU",0,"ARSvBOU20170909","home",1,3,0.176470588235294,0.333333333333333,0,164,Inf,Inf,3,1,"ARS-1","BOU-1",3,3,3,2,18,16,0,0,5.33333333333333,NA,NA,NA,NA,NA,NA
"4","BOU",0,0,7,2,6,0,0,25,3,315,0,10,1,0,0.48,"20170909","ARS",3,"ARSvBOU20170909","away",0,0,0,0,0,Inf,10,Inf,-3,1,"BOU-1","ARS-1",0,-3,0,18,2,-16,0,1,-Inf,NA,NA,NA,NA,NA,NA
"5","EVE",0,0,12,1,3,0,0,30,7,385,4,14,3,0,0.49,"20170909","TOT",3,"EVEvTOT20170909","home",0,0,0,0,0,Inf,4.66666666666667,Inf,-3,1,"EVE-1","TOT-1",0,-3,0,19,3,-16,0,1,-Inf,NA,NA,NA,NA,NA,NA
"6","TOT",3,2,15,6,1,0,0,27,3,407,3,14,1,0,0.51,"20170909","EVE",0,"EVEvTOT20170909","away",1,3,0.2,0.5,1,135.666666666667,14,Inf,3,1,"TOT-1","EVE-1",3,3,3,3,19,16,0,0,5.33333333333333,NA,NA,NA,NA,NA,NA
"7","LEI",1,0,8,2,4,1,1,26,2,286,1,11,1,0,0.42,"20170909","CHE",2,"LEIvCHE20170909","home",0,0,0.125,0.5,1,286,11,Inf,-1,1,"LEI-1","CHE-1",0,-1,1,12,7,-5,0,0,-Inf,NA,NA,NA,NA,NA,NA
"8","CHE",2,2,16,6,1,0,0,26,9,466,3,8,0,0,0.58,"20170909","LEI",1,"LEIvCHE20170909","away",1,3,0.125,0.333333333333333,0,233,Inf,Inf,1,1,"CHE-1","LEI-1",3,1,2,7,12,5,0,0,1.66666666666667,NA,NA,NA,NA,NA,NA
"9","SOU",0,0,9,1,1,0,0,27,7,329,2,8,0,0,0.52,"20170909","WAT",2,"SOUvWAT20170909","home",0,0,0,0,0,Inf,Inf,Inf,-2,1,"SOU-1","WAT-1",0,-2,0,16,5,-11,0,1,-Inf,NA,NA,NA,NA,NA,NA
"10","WAT",2,2,12,3,1,0,0,18,4,287,1,11,0,0,0.48,"20170909","SOU",0,"SOUvWAT20170909","away",1,3,0.166666666666667,0.666666666666667,0,143.5,Inf,Inf,2,1,"WAT-1","SOU-1",3,2,2,5,16,11,0,0,3.66666666666667,NA,NA,NA,NA,NA,NA
"11","BHA",3,3,12,6,2,0,0,16,2,376,1,9,2,0,0.47,"20170909","WBA",1,"BHAvWBA20170909","home",1,3,0.25,0.5,0,125.333333333333,4.5,Inf,2,1,"BHA-1","WBA-1",3,2,3,4,15,11,0,0,3.66666666666667,NA,NA,NA,NA,NA,NA
"12","WBA",1,1,12,3,3,0,0,33,6,392,1,4,0,0,0.53,"20170909","BHA",3,"BHAvWBA20170909","away",0,0,0.0833333333333333,0.333333333333333,0,392,Inf,Inf,-2,1,"WBA-1","BHA-1",0,-2,1,15,4,-11,0,1,-Inf,NA,NA,NA,NA,NA,NA
"13","STK",2,2,10,5,6,0,0,16,5,256,1,10,0,0,0.4,"20170909","MUN",2,"STKvMUN20170909","home",0,1,0.2,0.4,0,128,Inf,Inf,0,1,"STK-1","MUN-1",1,0,2,10,11,1,1,0,1,NA,NA,NA,NA,NA,NA
