"","team","Goals","Assists","Shots","Shots on Goal","Saves","Penalties Scored","Penalty Kicks","Crosses","Corner Kicks","Passes","Offside","Fouls Committed","Cautions/Yellow Cards","Red Cards","Ball Possession","minute"
"X1","ChelseaCHE","0","0","1","1","0","0","0","2","2","34","1","0","0","0","47%",0
"X3","ArsenalARS","0","0","0","0","1","0","0","0","0","54","0","1","0","0","53%",0
"X11","ChelseaCHE","0","0","1","1","0","0","0","3","2","57","2","0","0","0","51%",1
"X31","ArsenalARS","0","0","0","0","1","0","0","0","0","58","0","1","0","0","49%",1
"X12","ChelseaCHE","0","0","1","1","0","0","0","3","2","61","2","0","0","0","49%",2
"X32","ArsenalARS","0","0","0","0","1","0","0","0","0","58","0","1","0","0","51%",2
"X13","ChelseaCHE","0","0","1","1","0","0","0","3","2","61","2","0","0","0","50%",3
"X33","ArsenalARS","0","0","0","0","1","0","0","0","0","60","0","1","0","0","50%",3
"X14","ChelseaCHE","0","0","1","1","0","0","0","4","2","86","2","0","0","0","56%",4
"X34","ArsenalARS","0","0","0","0","1","0","0","0","0","60","0","1","0","0","44%",4
"X15","ChelseaCHE","0","0","1","1","0","0","0","5","2","87","2","0","0","0","53%",5
"X35","ArsenalARS","0","0","0","0","1","0","0","0","0","62","0","1","0","0","47%",5
"X16","ChelseaCHE","0","0","1","1","0","0","0","5","2","93","2","0","0","0","53%",6
"X36","ArsenalARS","0","0","1","0","1","0","0","1","0","72","0","1","0","0","47%",6
"X17","ChelseaCHE","0","0","1","1","1","0","0","5","2","97","2","0","0","0","52%",7
"X37","ArsenalARS","0","0","2","1","1","0","0","2","0","78","0","1","0","0","48%",7
"X18","ChelseaCHE","0","0","1","1","1","0","0","5","2","97","2","0","0","0","52%",8
"X38","ArsenalARS","0","0","2","1","1","0","0","2","0","78","0","1","0","0","48%",8
"X19","ChelseaCHE","0","0","1","1","1","0","0","5","2","97","2","0","0","0","52%",9
"X39","ArsenalARS","0","0","2","1","1","0","0","2","0","82","0","1","0","0","48%",9
"X110","ChelseaCHE","0","0","1","1","2","0","0","5","2","99","2","0","0","0","49%",10
"X310","ArsenalARS","0","0","3","2","1","0","0","2","0","96","0","2","0","0","51%",10
"X111","ChelseaCHE","0","0","1","1","2","0","0","5","2","99","2","0","0","0","49%",11
"X311","ArsenalARS","0","0","3","2","1","0","0","2","0","99","0","3","0","0","51%",11
"X112","ChelseaCHE","0","0","2","2","2","0","0","6","2","106","2","0","0","0","52%",12
"X312","ArsenalARS","0","0","3","2","2","0","0","2","0","99","0","3","0","0","48%",12
"X113","ChelseaCHE","0","0","4","2","2","0","0","7","2","114","2","0","0","0","53%",13
"X313","ArsenalARS","0","0","3","2","2","0","0","2","0","100","0","3","0","0","47%",13
"X114","ChelseaCHE","0","0","4","2","2","0","0","7","2","115","2","0","0","0","51%",14
"X314","ArsenalARS","0","0","3","2","2","0","0","2","0","113","0","3","0","0","49%",14
"X115","ChelseaCHE","0","0","4","2","2","0","0","7","2","119","2","0","0","0","52%",15
"X315","ArsenalARS","0","0","3","2","2","0","0","2","0","116","0","4","0","0","48%",15
"X116","ChelseaCHE","0","0","4","2","2","0","0","7","2","128","2","0","0","0","54%",16
"X316","ArsenalARS","0","0","3","2","2","0","0","2","0","117","0","4","0","0","46%",16
"X117","ChelseaCHE","0","0","4","2","2","0","0","7","2","135","2","0","0","0","54%",17
"X317","ArsenalARS","0","0","3","2","2","0","0","2","0","122","0","4","0","0","46%",17
"X118","ChelseaCHE","0","0","4","2","2","0","0","7","2","145","2","0","0","0","55%",18
"X318","ArsenalARS","0","0","3","2","2","0","0","2","0","122","0","4","0","0","45%",18
"X119","ChelseaCHE","0","0","4","2","2","0","0","7","2","149","2","0","0","0","56%",19
"X319","ArsenalARS","0","0","3","2","2","0","0","2","0","125","0","5","0","0","44%",19
"X120","ChelseaCHE","0","0","4","2","2","0","0","9","2","164","3","0","0","0","56%",20
"X320","ArsenalARS","0","0","3","2","2","0","0","2","0","125","0","5","0","0","44%",20
"X121","ChelseaCHE","0","0","4","2","2","0","0","9","2","165","3","0","0","0","56%",21
"X321","ArsenalARS","0","0","3","2","2","0","0","2","0","125","0","5","0","0","44%",21
"X122","ChelseaCHE","0","0","4","2","2","0","0","10","2","168","3","0","0","0","56%",22
"X322","ArsenalARS","0","0","4","2","2","0","0","2","0","134","0","5","0","0","44%",22
"X123","ChelseaCHE","0","0","4","2","2","0","0","10","2","182","3","0","0","0","57%",23
"X323","ArsenalARS","0","0","4","2","2","0","0","2","0","134","0","6","0","0","43%",23
"X124","ChelseaCHE","0","0","4","2","2","0","0","10","2","183","3","0","0","0","57%",24
"X324","ArsenalARS","0","0","4","2","2","0","0","2","0","134","0","6","0","0","43%",24
"X125","ChelseaCHE","0","0","4","2","2","0","0","10","2","188","3","1","0","0","56%",25
"X325","ArsenalARS","0","0","5","2","2","0","0","2","0","143","0","6","0","0","44%",25
"X126","ChelseaCHE","0","0","4","2","2","0","0","10","2","189","3","1","0","0","56%",26
"X326","ArsenalARS","0","0","5","2","2","0","0","2","0","148","0","6","0","0","44%",26
"X127","ChelseaCHE","0","0","4","2","2","0","0","10","2","189","3","1","0","0","56%",27
"X327","ArsenalARS","0","0","5","2","2","0","0","3","1","153","0","6","0","0","44%",27
"X128","ChelseaCHE","0","0","4","2","2","0","0","10","2","193","3","1","0","0","55%",28
"X328","ArsenalARS","0","0","7","2","2","0","0","4","1","153","0","6","0","0","45%",28
"X129","ChelseaCHE","0","0","4","2","2","0","0","10","2","194","3","1","0","0","55%",29
"X329","ArsenalARS","0","0","7","2","2","0","0","4","1","155","1","6","0","0","45%",29
"X130","ChelseaCHE","0","0","4","2","2","0","0","10","2","194","3","1","0","0","55%",30
"X330","ArsenalARS","0","0","7","2","2","0","0","4","1","155","1","6","0","0","45%",30
"X131","ChelseaCHE","0","0","4","2","2","0","0","10","2","194","3","1","0","0","55%",31
"X331","ArsenalARS","0","0","7","2","2","0","0","4","1","155","1","6","0","0","45%",31
"X132","ChelseaCHE","0","0","4","2","2","0","0","10","2","194","3","1","0","0","55%",32
"X332","ArsenalARS","0","0","7","2","2","0","0","4","1","155","1","6","0","0","45%",32
"X133","ChelseaCHE","0","0","4","2","2","0","0","10","2","194","3","1","0","0","55%",33
"X333","ArsenalARS","0","0","7","2","2","0","0","4","1","155","1","6","0","0","45%",33
"X134","ChelseaCHE","0","0","4","2","2","0","0","10","2","194","3","1","0","0","55%",34
"X334","ArsenalARS","0","0","9","2","2","0","0","4","1","158","1","7","0","0","45%",34
"X135","ChelseaCHE","0","0","4","2","2","0","0","10","2","194","3","1","0","0","55%",35
"X335","ArsenalARS","0","0","9","2","2","0","0","4","1","158","1","7","0","0","45%",35
"X136","ChelseaCHE","0","0","4","2","2","0","0","10","2","194","3","1","0","0","53%",36
"X336","ArsenalARS","0","0","9","2","2","0","0","4","1","158","1","7","0","0","47%",36
"X137","ChelseaCHE","0","0","4","2","2","0","0","10","2","195","3","1","0","0","53%",37
"X337","ArsenalARS","0","0","9","2","2","0","0","5","1","158","1","7","0","0","47%",37
"X138","ChelseaCHE","0","0","4","2","2","0","0","10","2","196","3","1","0","0","52%",38
"X338","ArsenalARS","0","0","9","2","2","0","0","5","1","159","1","7","0","0","48%",38
"X139","ChelseaCHE","0","0","4","2","2","0","0","10","2","196","3","1","0","0","52%",39
"X339","ArsenalARS","0","0","9","2","2","0","0","5","1","159","1","7","0","0","48%",39
"X140","ChelseaCHE","0","0","4","2","2","0","0","10","2","196","3","1","0","0","52%",40
"X340","ArsenalARS","0","0","9","2","2","0","0","5","1","159","1","7","0","0","48%",40
"X141","ChelseaCHE","0","0","4","2","2","0","0","10","2","196","3","1","0","0","52%",41
"X341","ArsenalARS","0","0","9","2","2","0","0","5","1","159","1","7","0","0","48%",41
"X142","ChelseaCHE","0","0","4","2","2","0","0","10","2","196","3","1","0","0","52%",42
"X342","ArsenalARS","0","0","9","2","2","0","0","5","1","159","1","7","0","0","48%",42
"X143","ChelseaCHE","0","0","4","2","2","0","0","10","2","198","3","1","0","0","52%",43
"X343","ArsenalARS","0","0","11","2","2","0","0","5","1","186","1","7","0","0","48%",43
"X144","ChelseaCHE","0","0","4","2","2","0","0","10","2","196","3","1","0","0","52%",44
"X344","ArsenalARS","0","0","11","2","2","0","0","5","1","198","1","8","0","0","48%",44
"X145","ChelseaCHE","0","0","4","2","2","0","0","10","2","196","3","1","0","0","52%",45
"X345","ArsenalARS","0","0","9","2","2","0","0","5","1","212","1","8","0","0","48%",45
"X146","ChelseaCHE","0","0","4","2","2","0","0","10","2","196","3","1","0","0","52%",46
"X346","ArsenalARS","0","0","9","2","2","0","0","5","1","216","1","7","0","0","48%",46
"X147","ChelseaCHE","0","0","4","2","2","0","0","10","2","196","3","1","0","0","52%",47
"X347","ArsenalARS","0","0","9","2","2","0","0","5","1","224","1","7","0","0","48%",47
"X148","ChelseaCHE","0","0","4","2","2","0","0","10","2","196","3","1","0","0","52%",48
"X348","ArsenalARS","0","0","9","2","2","0","0","5","1","228","1","7","0","0","48%",48
