"","team","Goals","Assists","Shots","Shots on Goal","Saves","Penalties Scored","Penalty Kicks","Crosses","Corner Kicks","Passes","Offside","Fouls Committed","Cautions/Yellow Cards","Red Cards","Ball Possession","minute"
"X1","Crystal PalaceCRY","0","0","9","2","2","0","0","14","4","144","0","7","2","0","40%",0
"X3","SouthamptonSOU","1","0","8","3","1","0","0","11","0","295","1","9","0","0","60%",0
"X11","Crystal PalaceCRY","0","0","9","2","2","0","0","15","4","147","0","7","2","0","40%",1
"X31","SouthamptonSOU","1","0","8","3","2","0","0","11","0","302","1","9","0","0","60%",1
"X12","Crystal PalaceCRY","0","0","10","2","2","0","0","15","4","148","0","7","2","0","40%",2
"X32","SouthamptonSOU","1","0","8","3","2","0","0","12","0","305","1","9","0","0","60%",2
"X13","Crystal PalaceCRY","0","0","10","2","2","0","0","15","4","150","0","7","2","0","40%",3
"X33","SouthamptonSOU","1","0","8","3","2","0","0","12","0","308","1","9","0","0","60%",3
"X14","Crystal PalaceCRY","0","0","10","2","2","0","0","15","4","154","0","7","2","0","40%",4
"X34","SouthamptonSOU","1","0","8","3","2","0","0","12","0","309","1","9","0","0","60%",4
"X15","Crystal PalaceCRY","0","0","10","2","2","0","0","15","4","158","0","7","3","0","40%",5
"X35","SouthamptonSOU","1","0","8","3","2","0","0","12","0","315","1","9","0","0","60%",5
"X16","Crystal PalaceCRY","0","0","10","2","2","0","0","15","4","164","0","7","3","0","40%",6
"X36","SouthamptonSOU","1","0","8","3","2","0","0","14","0","322","1","9","0","0","60%",6
"X17","Crystal PalaceCRY","0","0","10","2","2","0","0","15","4","166","0","7","3","0","40%",7
"X37","SouthamptonSOU","1","0","9","3","2","0","0","14","1","327","1","9","0","0","60%",7
"X18","Crystal PalaceCRY","0","0","10","2","2","0","0","16","4","167","0","7","3","0","40%",8
"X38","SouthamptonSOU","1","0","9","3","2","0","0","14","1","331","1","9","0","0","60%",8
"X19","Crystal PalaceCRY","0","0","10","2","2","0","0","16","4","168","0","7","3","0","41%",9
"X39","SouthamptonSOU","1","0","9","3","2","0","0","15","1","337","1","9","0","0","59%",9
"X110","Crystal PalaceCRY","0","0","10","2","2","0","0","16","4","171","0","8","3","0","41%",10
"X310","SouthamptonSOU","1","0","9","3","2","0","0","15","1","343","1","9","0","0","59%",10
"X111","Crystal PalaceCRY","0","0","11","2","2","0","0","16","4","180","0","8","3","0","41%",11
"X311","SouthamptonSOU","1","0","9","3","2","0","0","15","1","348","1","9","0","0","59%",11
"X112","Crystal PalaceCRY","0","0","11","2","2","0","0","16","4","181","0","8","3","0","41%",12
"X312","SouthamptonSOU","1","0","9","3","2","0","0","15","1","351","1","9","0","0","59%",12
"X113","Crystal PalaceCRY","0","0","11","2","2","0","0","18","4","184","0","8","3","0","40%",13
"X313","SouthamptonSOU","1","0","10","3","2","0","0","15","3","361","1","10","0","0","60%",13
"X114","Crystal PalaceCRY","0","0","11","2","2","0","0","18","4","187","0","8","3","0","41%",14
"X314","SouthamptonSOU","1","0","10","3","2","0","0","17","3","365","1","11","1","0","59%",14
"X115","Crystal PalaceCRY","0","0","11","2","2","0","0","18","4","189","0","9","3","0","41%",15
"X315","SouthamptonSOU","1","0","10","3","2","0","0","18","3","364","1","11","1","0","59%",15
"X116","Crystal PalaceCRY","0","0","11","2","2","0","0","18","4","189","0","10","4","0","40%",16
"X316","SouthamptonSOU","1","0","10","3","2","0","0","18","3","367","1","11","1","0","60%",16
"X117","Crystal PalaceCRY","0","0","11","2","2","0","0","18","4","189","0","10","4","0","41%",17
"X317","SouthamptonSOU","1","0","10","3","2","0","0","18","3","368","1","11","0","0","59%",17
"X118","Crystal PalaceCRY","0","0","11","2","2","0","0","18","5","191","0","10","4","0","41%",18
"X318","SouthamptonSOU","1","0","10","3","2","0","0","18","3","370","1","11","0","0","59%",18
"X119","Crystal PalaceCRY","0","0","11","2","2","0","0","19","5","194","0","10","4","0","41%",19
"X319","SouthamptonSOU","1","0","10","3","2","0","0","18","3","371","1","11","0","0","59%",19
"X120","Crystal PalaceCRY","0","0","11","2","2","0","0","19","5","194","0","10","4","0","42%",20
"X320","SouthamptonSOU","1","0","10","3","2","0","0","18","3","373","1","11","0","0","58%",20
"X121","Crystal PalaceCRY","0","0","11","2","2","0","0","21","5","200","0","11","4","0","42%",21
"X321","SouthamptonSOU","1","0","10","3","2","0","0","18","3","375","1","11","0","0","58%",21
"X122","Crystal PalaceCRY","0","0","12","2","2","0","0","21","5","208","0","11","4","0","43%",22
"X322","SouthamptonSOU","1","0","10","3","2","0","0","18","3","374","1","11","0","0","57%",22
"X123","Crystal PalaceCRY","0","0","12","2","2","0","0","21","5","213","0","11","4","0","43%",23
"X323","SouthamptonSOU","1","0","10","3","2","0","0","18","3","374","1","11","0","0","57%",23
"X124","Crystal PalaceCRY","0","0","12","2","2","0","0","21","5","219","0","11","4","0","45%",24
"X324","SouthamptonSOU","1","0","10","3","2","0","0","18","3","375","1","12","0","0","55%",24
"X125","Crystal PalaceCRY","0","0","12","2","2","0","0","23","5","226","0","11","4","0","45%",25
"X325","SouthamptonSOU","1","0","10","3","2","0","0","18","3","374","1","12","0","0","55%",25
"X126","Crystal PalaceCRY","0","0","12","2","2","0","0","24","5","238","0","11","4","0","45%",26
"X326","SouthamptonSOU","1","0","10","3","3","0","0","18","3","377","1","13","1","0","55%",26
"X127","Crystal PalaceCRY","0","0","12","2","2","0","0","24","5","245","0","11","4","0","45%",27
"X327","SouthamptonSOU","1","0","10","3","3","0","0","18","3","377","1","13","1","0","55%",27
"X128","Crystal PalaceCRY","0","0","13","3","2","0","0","24","5","249","0","11","4","0","44%",28
"X328","SouthamptonSOU","1","0","11","3","3","0","0","18","4","379","1","13","1","0","56%",28
"X129","Crystal PalaceCRY","0","0","13","3","2","0","0","24","5","249","0","11","4","0","44%",29
"X329","SouthamptonSOU","1","0","11","3","3","0","0","19","4","380","1","13","1","0","56%",29
"X130","Crystal PalaceCRY","0","0","13","3","2","0","0","24","5","250","0","12","5","0","44%",30
"X330","SouthamptonSOU","1","0","11","3","3","0","0","19","4","385","1","13","1","0","56%",30
"X131","Crystal PalaceCRY","0","0","13","3","2","0","0","25","5","254","0","12","5","0","44%",31
"X331","SouthamptonSOU","1","0","11","3","3","0","0","19","4","388","1","13","1","0","56%",31
"X132","Crystal PalaceCRY","0","0","13","3","2","0","0","25","5","258","0","12","5","0","44%",32
"X332","SouthamptonSOU","1","0","11","3","3","0","0","19","4","390","1","13","1","0","56%",32
"X133","Crystal PalaceCRY","0","0","13","3","2","0","0","26","5","265","0","12","5","0","45%",33
"X333","SouthamptonSOU","1","0","11","3","3","0","0","19","4","396","1","13","1","0","55%",33
"X134","Crystal PalaceCRY","0","0","13","3","2","0","0","27","5","266","0","12","5","0","45%",34
"X334","SouthamptonSOU","1","0","11","3","3","0","0","19","4","397","1","13","1","0","55%",34
"X135","Crystal PalaceCRY","0","0","13","3","2","0","0","27","5","274","0","12","5","0","45%",35
"X335","SouthamptonSOU","1","0","11","3","3","0","0","20","5","399","1","13","1","0","55%",35
"X136","Crystal PalaceCRY","0","0","13","3","2","0","0","27","5","274","0","12","5","0","45%",36
"X336","SouthamptonSOU","1","0","11","3","3","0","0","20","5","399","1","13","1","0","55%",36
"X137","Crystal PalaceCRY","0","0","13","3","2","0","0","27","5","277","0","12","5","0","45%",37
"X337","SouthamptonSOU","1","0","11","3","3","0","0","21","5","402","1","13","1","0","55%",37
"X138","Crystal PalaceCRY","0","0","13","3","2","0","0","28","5","284","0","12","5","0","45%",38
"X338","SouthamptonSOU","1","0","11","3","3","0","0","21","5","403","1","13","1","0","55%",38
"X139","Crystal PalaceCRY","0","0","13","3","3","0","0","28","5","286","0","12","5","0","45%",39
"X339","SouthamptonSOU","1","0","12","4","3","0","0","21","5","406","1","13","1","0","55%",39
