"","team","Goals","Assists","Shots","Shots on Goal","Saves","Penalties Scored","Penalty Kicks","Crosses","Corner Kicks","Passes","Offside","Fouls Committed","Cautions/Yellow Cards","Red Cards","Ball Possession","minute"
"X1","Manchester UnitedMUN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0%",0
"X3","EvertonEVE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0%",0
"X11","Manchester UnitedMUN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100%",1
"X31","EvertonEVE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0%",1
"X12","Manchester UnitedMUN","0","0","0","0","0","0","0","0","0","2","0","0","0","0","53%",2
"X32","EvertonEVE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","47%",2
"X13","Manchester UnitedMUN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0%",3
"X33","EvertonEVE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0%",3
"X14","Manchester UnitedMUN","0","0","0","0","0","0","0","0","0","2","0","0","0","0","60%",4
"X34","EvertonEVE","0","0","0","0","0","0","0","0","0","5","0","1","0","0","40%",4
"X15","Manchester UnitedMUN","0","0","0","0","0","0","0","0","0","2","0","0","0","0","60%",5
"X35","EvertonEVE","0","0","0","0","0","0","0","0","0","5","0","1","0","0","40%",5
"X16","Manchester UnitedMUN","1","0","1","1","0","0","0","1","0","23","0","0","0","0","71%",6
"X36","EvertonEVE","0","0","0","0","0","0","0","0","0","6","0","1","0","0","29%",6
"X17","Manchester UnitedMUN","1","1","1","1","0","0","0","2","0","32","0","0","0","0","70%",7
"X37","EvertonEVE","0","0","0","0","0","0","0","0","0","8","0","1","0","0","30%",7
"X18","Manchester UnitedMUN","1","1","1","1","0","0","0","2","0","36","0","0","0","0","73%",8
"X38","EvertonEVE","0","0","0","0","0","0","0","0","0","7","0","1","0","0","27%",8
"X19","Manchester UnitedMUN","1","1","1","1","0","0","0","2","0","38","0","0","0","0","72%",9
"X39","EvertonEVE","0","0","0","0","0","0","0","0","0","7","0","1","0","0","28%",9
"X110","Manchester UnitedMUN","1","1","1","1","0","0","0","2","0","38","0","0","0","0","72%",10
"X310","EvertonEVE","0","0","0","0","0","0","0","0","0","7","0","1","0","0","28%",10
"X111","Manchester UnitedMUN","1","1","1","1","0","0","0","2","0","38","0","0","0","0","72%",11
"X311","EvertonEVE","0","0","0","0","0","0","0","0","0","7","0","1","0","0","28%",11
"X112","Manchester UnitedMUN","1","1","1","1","0","0","0","8","0","68","0","0","0","0","75%",12
"X312","EvertonEVE","0","0","0","0","0","0","0","0","0","17","0","1","0","0","25%",12
"X113","Manchester UnitedMUN","1","1","1","1","0","0","0","8","0","84","0","1","0","0","68%",13
"X313","EvertonEVE","0","0","0","0","0","0","0","0","0","26","0","1","0","0","32%",13
"X114","Manchester UnitedMUN","1","1","1","1","0","0","0","8","0","86","0","1","0","0","64%",14
"X314","EvertonEVE","0","0","0","0","0","0","0","1","0","32","0","1","0","0","36%",14
"X115","Manchester UnitedMUN","1","1","1","1","0","0","0","8","0","90","0","2","0","0","63%",15
"X315","EvertonEVE","0","0","0","0","0","0","0","1","0","36","0","1","0","0","37%",15
"X116","Manchester UnitedMUN","1","1","1","1","0","0","0","8","0","89","0","1","0","0","63%",16
"X316","EvertonEVE","0","0","0","0","0","0","0","1","0","36","0","1","0","0","37%",16
"X117","Manchester UnitedMUN","1","1","1","1","0","0","0","8","0","93","0","2","0","0","62%",17
"X317","EvertonEVE","0","0","0","0","0","0","0","2","0","43","0","2","0","0","38%",17
"X118","Manchester UnitedMUN","1","1","1","1","0","0","0","9","0","104","0","2","0","0","63%",18
"X318","EvertonEVE","0","0","0","0","0","0","0","2","0","48","0","2","0","0","37%",18
"X119","Manchester UnitedMUN","1","1","1","1","0","0","0","9","0","106","0","2","0","0","65%",19
"X319","EvertonEVE","0","0","0","0","0","0","0","2","0","53","0","2","0","0","35%",19
"X120","Manchester UnitedMUN","1","1","1","1","0","0","0","9","0","116","0","3","0","0","65%",20
"X320","EvertonEVE","0","0","0","0","0","0","0","2","0","56","0","2","0","0","35%",20
"X121","Manchester UnitedMUN","1","1","1","1","0","0","0","9","0","128","0","3","0","0","61%",21
"X321","EvertonEVE","0","0","0","0","0","0","0","2","0","73","0","2","0","0","39%",21
"X122","Manchester UnitedMUN","1","1","1","1","0","0","0","11","0","139","0","3","0","0","62%",22
"X322","EvertonEVE","0","0","0","0","0","0","0","3","0","84","0","2","0","0","38%",22
"X123","Manchester UnitedMUN","1","1","1","1","0","0","0","11","0","145","0","4","0","0","63%",23
"X323","EvertonEVE","0","0","1","0","0","0","0","3","0","88","0","2","0","0","37%",23
"X124","Manchester UnitedMUN","1","1","1","1","0","0","0","11","0","149","0","4","0","0","62%",24
"X324","EvertonEVE","0","0","1","0","0","0","0","3","0","92","0","2","0","0","38%",24
"X125","Manchester UnitedMUN","1","1","1","1","0","0","0","11","0","167","0","4","0","0","65%",25
"X325","EvertonEVE","0","0","1","0","0","0","0","3","0","93","0","3","0","0","35%",25
"X126","Manchester UnitedMUN","1","1","1","1","0","0","0","11","0","170","0","4","0","0","64%",26
"X326","EvertonEVE","0","0","1","0","0","0","0","3","0","95","0","3","0","0","36%",26
"X127","Manchester UnitedMUN","1","1","2","1","0","0","0","11","0","177","0","5","0","0","63%",27
"X327","EvertonEVE","0","0","1","0","0","0","0","3","0","97","0","3","0","0","37%",27
"X128","Manchester UnitedMUN","1","1","2","1","0","0","0","11","0","181","0","6","0","0","63%",28
"X328","EvertonEVE","0","0","1","0","0","0","0","4","0","99","0","3","0","0","37%",28
"X129","Manchester UnitedMUN","1","1","2","1","0","0","0","11","0","181","0","6","0","0","63%",29
"X329","EvertonEVE","0","0","2","0","0","0","0","4","0","102","0","3","0","0","37%",29
"X130","Manchester UnitedMUN","1","1","2","1","0","0","0","11","0","181","0","6","0","0","62%",30
"X330","EvertonEVE","0","0","2","0","0","0","0","4","0","101","0","3","0","0","38%",30
"X131","Manchester UnitedMUN","1","1","2","1","0","0","0","11","0","181","0","6","0","0","59%",31
"X331","EvertonEVE","0","0","2","0","0","0","0","5","0","110","1","3","0","0","41%",31
"X132","Manchester UnitedMUN","1","1","2","1","0","0","0","11","0","182","0","6","0","0","58%",32
"X332","EvertonEVE","0","0","2","0","0","0","0","6","0","115","1","4","0","0","42%",32
"X133","Manchester UnitedMUN","1","1","2","1","0","0","0","11","0","182","0","6","0","0","58%",33
"X333","EvertonEVE","0","0","2","0","0","0","0","6","0","115","1","4","0","0","42%",33
"X134","Manchester UnitedMUN","1","1","2","1","0","0","0","11","0","182","0","6","0","0","59%",34
"X334","EvertonEVE","0","0","2","0","0","0","0","6","0","116","1","4","0","0","41%",34
"X135","Manchester UnitedMUN","1","1","2","1","0","0","0","12","0","184","0","6","0","0","59%",35
"X335","EvertonEVE","0","0","2","0","0","0","0","6","0","117","1","4","0","0","41%",35
"X136","Manchester UnitedMUN","1","1","3","1","0","0","0","13","0","195","0","7","0","0","58%",36
"X336","EvertonEVE","0","0","2","0","0","0","0","6","0","128","1","4","0","0","42%",36
"X137","Manchester UnitedMUN","1","1","3","1","0","0","0","13","0","195","0","7","0","0","58%",37
"X337","EvertonEVE","0","0","2","0","0","0","0","6","0","128","1","4","0","0","42%",37
"X138","Manchester UnitedMUN","1","1","3","1","0","0","0","13","0","195","0","7","0","0","58%",38
"X338","EvertonEVE","0","0","2","0","0","0","0","6","0","128","1","4","0","0","42%",38
"X139","Manchester UnitedMUN","1","1","3","1","0","0","0","14","2","201","0","8","0","0","54%",39
"X339","EvertonEVE","0","0","2","0","0","0","0","6","0","159","1","4","0","0","46%",39
"X140","Manchester UnitedMUN","1","1","4","1","0","0","0","14","2","202","0","8","0","0","54%",40
"X340","EvertonEVE","0","0","2","0","0","0","0","6","0","163","1","4","0","0","46%",40
"X141","Manchester UnitedMUN","1","1","4","1","0","0","0","15","2","208","0","8","0","0","54%",41
"X341","EvertonEVE","0","0","2","0","0","0","0","6","0","178","1","4","0","0","46%",41
"X142","Manchester UnitedMUN","1","1","5","1","0","0","0","15","2","208","0","8","0","0","54%",42
"X342","EvertonEVE","0","0","2","0","0","0","0","6","0","179","1","4","0","0","46%",42
"X143","Manchester UnitedMUN","1","1","6","2","0","0","0","15","2","212","0","8","0","0","55%",43
"X343","EvertonEVE","0","0","2","0","1","0","0","6","0","178","1","4","0","0","45%",43
"X144","Manchester UnitedMUN","1","1","6","2","0","0","0","16","2","217","0","8","0","0","55%",44
"X344","EvertonEVE","0","0","2","0","1","0","0","6","0","180","1","4","0","0","45%",44
"X145","Manchester UnitedMUN","1","1","6","2","0","0","0","17","2","220","0","8","0","0","54%",45
"X345","EvertonEVE","0","0","2","0","1","0","0","6","0","186","1","4","0","0","46%",45
"X146","Manchester UnitedMUN","1","1","6","2","0","0","0","20","2","229","0","9","0","0","53%",46
"X346","EvertonEVE","0","0","2","0","1","0","0","6","0","189","1","4","0","0","47%",46
"X147","Manchester UnitedMUN","1","1","6","2","0","0","0","21","2","234","0","9","0","0","53%",47
"X347","EvertonEVE","0","0","2","0","1","0","0","6","0","190","1","4","0","0","47%",47
"X148","Manchester UnitedMUN","1","1","6","2","0","0","0","21","2","240","0","9","0","0","53%",48
"X348","EvertonEVE","0","0","2","0","1","0","0","7","0","201","1","4","0","0","47%",48
"X149","Manchester UnitedMUN","1","1","6","2","0","0","0","21","2","240","0","9","0","0","53%",49
"X349","EvertonEVE","0","0","2","0","1","0","0","7","0","199","1","4","0","0","47%",49
"X150","Manchester UnitedMUN","1","1","6","2","0","0","0","21","2","249","0","9","0","0","53%",50
"X350","EvertonEVE","0","0","2","0","1","0","0","7","0","212","1","4","0","0","47%",50
"X151","Manchester UnitedMUN","1","1","6","4","0","0","0","21","2","252","0","9","0","0","53%",51
"X351","EvertonEVE","0","0","2","0","1","0","0","7","0","206","1","4","0","0","47%",51
"X152","Manchester UnitedMUN","1","1","6","4","0","0","0","21","2","253","0","9","0","0","53%",52
"X352","EvertonEVE","0","0","2","0","2","0","0","7","0","206","1","4","0","0","47%",52
"X153","Manchester UnitedMUN","1","1","6","4","0","0","0","21","2","253","0","9","0","0","53%",53
"X353","EvertonEVE","0","0","2","0","2","0","0","7","0","206","1","4","0","0","47%",53
"X154","Manchester UnitedMUN","1","1","6","4","0","0","0","21","2","253","0","9","0","0","53%",54
"X354","EvertonEVE","0","0","2","0","2","0","0","7","0","206","1","4","0","0","47%",54
"X155","Manchester UnitedMUN","1","1","6","3","0","0","0","21","2","253","0","9","0","0","53%",55
"X355","EvertonEVE","0","0","2","0","2","0","0","7","0","206","1","4","0","0","47%",55
"X156","Manchester UnitedMUN","1","1","6","3","0","0","0","21","2","253","0","9","0","0","53%",56
"X356","EvertonEVE","0","0","2","0","2","0","0","7","0","206","1","4","0","0","47%",56
"X157","Manchester UnitedMUN","1","1","6","3","0","0","0","21","2","253","0","9","0","0","53%",57
"X357","EvertonEVE","0","0","2","0","2","0","0","7","0","206","1","4","0","0","47%",57
"X158","Manchester UnitedMUN","1","1","6","3","0","0","0","21","2","253","0","9","0","0","53%",58
"X358","EvertonEVE","0","0","2","0","2","0","0","7","0","206","1","4","0","0","47%",58
"X159","Manchester UnitedMUN","1","1","6","3","0","0","0","21","2","253","0","9","0","0","53%",59
"X359","EvertonEVE","0","0","2","0","2","0","0","7","0","206","1","4","0","0","47%",59
"X160","Manchester UnitedMUN","1","1","6","3","0","0","0","21","2","253","0","9","0","0","53%",60
"X360","EvertonEVE","0","0","2","0","2","0","0","7","0","206","1","4","0","0","47%",60
"X161","Manchester UnitedMUN","1","1","6","3","0","0","0","21","2","253","0","9","0","0","53%",61
"X361","EvertonEVE","0","0","2","0","2","0","0","7","0","206","1","4","0","0","47%",61
"X162","Manchester UnitedMUN","1","1","6","3","0","0","0","21","2","253","0","9","0","0","53%",62
"X362","EvertonEVE","0","0","2","0","2","0","0","7","0","206","1","4","0","0","47%",62
"X163","Manchester UnitedMUN","1","1","6","3","0","0","0","21","2","253","0","9","0","0","53%",63
"X363","EvertonEVE","0","0","2","0","2","0","0","7","0","206","1","4","0","0","47%",63
"X164","Manchester UnitedMUN","1","1","6","3","0","0","0","21","2","253","0","9","0","0","53%",64
"X364","EvertonEVE","0","0","2","0","2","0","0","7","0","206","1","4","0","0","47%",64
"X165","Manchester UnitedMUN","1","1","6","3","0","0","0","21","2","253","0","9","0","0","53%",65
"X365","EvertonEVE","0","0","2","0","2","0","0","7","0","208","1","4","0","0","47%",65
"X166","Manchester UnitedMUN","1","1","6","3","1","0","0","21","2","261","0","10","0","0","52%",66
"X366","EvertonEVE","0","0","3","1","2","0","0","7","0","217","1","5","0","0","48%",66
"X167","Manchester UnitedMUN","1","1","6","3","1","0","0","21","2","261","0","10","0","0","52%",67
"X367","EvertonEVE","0","0","3","1","2","0","0","7","0","217","1","5","0","0","48%",67
"X168","Manchester UnitedMUN","1","1","6","3","1","0","0","21","2","267","0","10","0","0","52%",68
"X368","EvertonEVE","0","0","3","1","2","0","0","7","0","226","1","5","0","0","48%",68
"X169","Manchester UnitedMUN","1","1","6","3","1","0","0","21","2","257","0","9","0","0","53%",69
"X369","EvertonEVE","0","0","3","1","2","0","0","7","0","216","1","5","0","0","47%",69
"X170","Manchester UnitedMUN","1","1","7","3","1","0","0","21","2","271","0","10","0","0","52%",70
"X370","EvertonEVE","0","0","3","1","2","0","0","7","0","239","1","6","0","0","48%",70
"X171","Manchester UnitedMUN","1","1","7","3","1","0","0","22","2","287","0","10","0","0","53%",71
"X371","EvertonEVE","0","0","3","1","2","0","0","7","0","240","1","6","0","0","47%",71
"X172","Manchester UnitedMUN","1","1","7","3","1","0","0","23","2","289","0","10","0","0","53%",72
"X372","EvertonEVE","0","0","3","1","2","0","0","7","0","240","1","6","0","0","47%",72
"X173","Manchester UnitedMUN","1","1","7","3","1","0","0","21","2","271","0","10","0","0","52%",73
"X373","EvertonEVE","0","0","3","1","2","0","0","7","0","239","1","6","0","0","48%",73
"X174","Manchester UnitedMUN","1","1","7","3","1","0","0","21","2","271","0","10","0","0","52%",74
"X374","EvertonEVE","0","0","3","1","2","0","0","7","0","239","1","6","0","0","48%",74
"X175","Manchester UnitedMUN","1","1","7","3","1","0","0","23","2","301","0","10","0","0","52%",75
"X375","EvertonEVE","0","0","3","1","2","0","0","7","0","260","2","7","0","0","48%",75
