"","team","Goals","Assists","Shots","Shots on Goal","Saves","Penalties Scored","Penalty Kicks","Crosses","Corner Kicks","Passes","Offside","Fouls Committed","Cautions/Yellow Cards","Red Cards","Ball Possession","minute"
"X1","WatfordWAT","0","0","1","0","1","0","0","1","0","27","1","1","0","0","34%",0
"X3","Manchester CityMCI","0","0","5","1","0","0","0","7","2","86","0","1","0","0","66%",0
"X11","WatfordWAT","0","0","1","0","1","0","0","1","0","30","1","1","0","0","34%",1
"X31","Manchester CityMCI","0","0","5","1","0","0","0","7","2","91","0","1","0","0","66%",1
"X12","WatfordWAT","0","0","1","0","1","0","0","1","0","31","1","1","0","0","33%",2
"X32","Manchester CityMCI","0","0","6","1","0","0","0","7","2","93","0","1","0","0","67%",2
"X13","WatfordWAT","0","0","1","0","1","0","0","2","0","35","1","1","0","0","33%",3
"X33","Manchester CityMCI","0","0","7","1","0","0","0","8","2","100","0","1","0","0","67%",3
"X14","WatfordWAT","0","0","1","0","1","0","0","2","0","35","1","1","0","0","33%",4
"X34","Manchester CityMCI","0","0","7","1","0","0","0","8","2","100","0","1","0","0","67%",4
"X15","WatfordWAT","0","0","1","0","1","0","0","2","0","37","1","1","0","0","32%",5
"X35","Manchester CityMCI","0","0","7","1","0","0","0","9","3","112","0","1","0","0","68%",5
"X16","WatfordWAT","0","0","1","0","1","0","0","2","0","37","1","1","0","0","32%",6
"X36","Manchester CityMCI","0","0","7","1","0","0","0","9","3","112","0","1","0","0","68%",6
"X17","WatfordWAT","0","0","1","0","1","0","0","2","0","39","1","1","0","0","32%",7
"X37","Manchester CityMCI","0","0","9","1","0","0","0","10","5","131","0","1","0","0","68%",7
"X18","WatfordWAT","0","0","1","0","1","0","0","2","0","42","1","1","0","0","32%",8
"X38","Manchester CityMCI","0","0","10","1","0","0","0","10","5","134","0","2","0","0","68%",8
"X19","WatfordWAT","0","0","1","0","1","0","0","3","0","41","1","1","0","0","32%",9
"X39","Manchester CityMCI","0","0","10","1","0","0","0","10","5","137","0","2","0","0","68%",9
"X110","WatfordWAT","0","0","2","0","1","0","0","3","0","45","1","1","0","0","32%",10
"X310","Manchester CityMCI","0","0","10","1","0","0","0","10","5","137","0","2","0","0","68%",10
"X111","WatfordWAT","0","0","2","0","1","0","0","3","0","47","1","1","0","0","31%",11
"X311","Manchester CityMCI","0","0","10","1","0","0","0","10","5","143","0","2","0","0","69%",11
"X112","WatfordWAT","0","0","2","0","1","0","0","3","0","49","1","2","0","0","31%",12
"X312","Manchester CityMCI","1","0","11","2","0","0","0","12","5","148","0","2","0","0","69%",12
"X113","WatfordWAT","0","0","2","0","1","0","0","3","0","51","1","2","0","0","31%",13
"X313","Manchester CityMCI","1","1","11","2","0","0","0","13","5","150","0","2","0","0","69%",13
"X114","WatfordWAT","0","0","2","0","1","0","0","3","0","52","1","3","1","0","32%",14
"X314","Manchester CityMCI","1","1","11","2","0","0","0","13","5","155","0","2","0","0","68%",14
